name,iata_code,latitude_deg,longitude_deg,municipality,country_code
北京首都国际机场,PEK,40.0799,116.5891,北京,CN
北京大兴国际机场,PKX,39.5098,116.3958,北京,CN
上海浦东国际机场,PVG,31.1443,121.8083,上海,CN
上海虹桥国际机场,SHA,31.1944,121.3350,上海,CN
广州白云国际机场,CAN,23.3939,113.2997,广州,CN
深圳宝安国际机场,SZX,22.6273,113.8916,深圳,CN
成都天府国际机场,TFU,30.5728,104.4669,成都,CN
杭州萧山国际机场,HGH,30.3399,120.3556,杭州,CN
西安咸阳国际机场,SIA,34.3439,108.7536,西安,CN
重庆江北国际机场,CKG,29.7174,106.6576,重庆,CN
昆明长水国际机场,KMG,25.0492,102.9162,昆明,CN
南京禄口国际机场,NKG,31.8752,118.7892,南京,CN
武汉天河国际机场,WUH,30.7609,114.3899,武汉,CN
天津滨海国际机场,TSN,39.1342,117.4183,天津,CN
青岛胶东国际机场,TAO,36.3627,120.3869,青岛,CN
厦门高崎国际机场,XMN,24.5436,118.1253,厦门,CN
长沙黄花国际机场,CSX,28.2271,113.0929,长沙,CN
郑州新郑国际机场,CGO,34.5259,113.8074,郑州,CN
沈阳桃仙国际机场,SHE,41.7968,123.4895,沈阳,CN
大连周水子国际机场,DLC,38.9150,121.6119,大连,CN
哈尔滨太平国际机场,HRB,45.6105,126.5320,哈尔滨,CN
长春龙嘉国际机场,CGQ,43.9339,125.3367,长春,CN
济南遥墙国际机场,TNA,36.9728,117.1531,济南,CN
太原武宿国际机场,TYN,37.7579,112.5680,太原,CN
石家庄正定国际机场,SJW,38.1719,114.6586,石家庄,CN
合肥新桥国际机场,HFE,31.9246,117.2275,合肥,CN
福州长乐国际机场,FOC,25.9066,119.6338,福州,CN
南宁吴圩国际机场,NNG,22.6269,108.2152,南宁,CN
贵阳龙洞堡国际机场,KWE,26.5343,106.7996,贵阳,CN
兰州中川国际机场,LHW,36.5530,103.5883,兰州,CN
乌鲁木齐地窝堡国际机场,URC,43.9116,87.3932,乌鲁木齐,CN
西宁曹家堡国际机场,XNN,36.4251,102.2692,西宁,CN
银川河东国际机场,INC,38.4886,106.3065,银川,CN
呼和浩特白塔国际机场,HET,40.8185,111.7921,呼和浩特,CN
南昌昌北国际机场,KHN,28.7131,115.8568,南昌,CN
海口美兰国际机场,HAK,19.9397,110.3544,海口,CN
三亚凤凰国际机场,SYX,18.3140,109.5137,三亚,CN
澳门国际机场,MFM,22.1419,113.5514,澳门,MO
香港国际机场,HKG,22.3080,113.9185,香港,HK
台北桃园国际机场,TPE,25.0772,121.2366,台北,TW
东京成田国际机场,NRT,35.7720,140.3929,东京,JP
东京羽田国际机场,HND,35.5494,139.7798,东京,JP
大阪关西国际机场,KIX,34.4316,135.2431,大阪,JP
首尔仁川国际机场,ICN,37.4602,126.4406,首尔,KR
新加坡樟宜国际机场,SIN,1.3644,103.9915,新加坡,SG
曼谷素万那普国际机场,BKK,13.6929,100.7501,曼谷,TH
吉隆坡国际机场,KUL,2.7456,101.7092,吉隆坡,MY
迪拜国际机场,DXB,25.2532,55.3657,迪拜,AE
伦敦希思罗机场,LHR,51.4700,-0.4543,伦敦,GB
巴黎戴高乐机场,CDG,49.0097,2.5479,巴黎,FR
法兰克福国际机场,FRA,50.0333,8.5706,法兰克福,DE
阿姆斯特丹史基浦机场,AMS,52.3086,4.7639,阿姆斯特丹,NL
纽约肯尼迪国际机场,JFK,40.6413,-73.7781,纽约,US
洛杉矶国际机场,LAX,33.9425,-118.4081,洛杉矶,US
芝加哥奥黑尔国际机场,ORD,41.9795,-87.9044,芝加哥,US
旧金山国际机场,SFO,37.6213,-122.3790,旧金山,US
多伦多皮尔逊国际机场,YYZ,43.6777,-79.6248,多伦多,CA
悉尼金斯福德·史密斯机场,SYD,-33.9399,151.1753,悉尼,AU
墨尔本机场,MEL,-37.6638,144.8440,墨尔本,AU
奥克兰国际机场,AKL,-37.0064,174.7852,奥克兰,NZ
